date,week,name,ipeds_id,total_tests,positive_tests,cumulative_cases,cumulative_tests,testing_fall2020,status,status_merge,total_tests_per_1000_enrollment,positive_tests_per_1000_enrollment,cumulative_cases_per_1000_enrollment,cumulative_tests_per_1000_enrollment,enrollment_fulltime,fips,city
2020-08-29,4,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-30,4,Amherst College,164465,912,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,491.644204851752,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-08-31,4,Amherst College,164465,374,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,201.61725067385444,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-01,4,Amherst College,164465,1065,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,574.1239892183288,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-02,4,Amherst College,164465,1,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.5390835579514826,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-03,4,Amherst College,164465,1172,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,631.8059299191374,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-04,4,Amherst College,164465,182,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,98.11320754716982,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-05,5,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-06,5,Amherst College,164465,948,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,511.0512129380054,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-07,5,Amherst College,164465,5,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,2.6954177897574128,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-08,5,Amherst College,164465,1210,2,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,652.2911051212939,1.078167115902965,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-09,5,Amherst College,164465,277,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,149.32614555256066,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-10,5,Amherst College,164465,996,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,536.9272237196766,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-11,5,Amherst College,164465,265,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,142.85714285714286,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-12,6,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-09-13,6,Amherst College,164465,974,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,525.067385444744,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
